OBJECTID,EVENT_UNIQUE_ID,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_DOY,DIVISION,HOMICIDE_TYPE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84
932,GO-2018489653,2018.03.17,2018,March,17,Saturday,76,D32,Shooting,31,Yorkdale-Glen Park,31,Yorkdale-Glen Park (31),-79.45551267,43.71763393
933,GO-2018489653,2018.03.17,2018,March,17,Saturday,76,D32,Shooting,31,Yorkdale-Glen Park,31,Yorkdale-Glen Park (31),-79.45551267,43.71763393
934,GO-2018619032,2018.04.06,2018,April,6,Friday,96,D41,Shooting,119,Wexford/Maryvale,119,Wexford/Maryvale (119),-79.31816076,43.76450904
935,GO-2018661938,2018.04.08,2018,April,8,Sunday,98,D41,Other,119,Wexford/Maryvale,119,Wexford/Maryvale (119),-79.30798068,43.74434917
936,GO-2018639035,2018.04.10,2018,April,10,Tuesday,100,D54,Stabbing,58,Old East York,58,Old East York (58),-79.34322242,43.69502347
937,GO-2018711594,2018.04.21,2018,April,21,Saturday,111,D41,Stabbing,124,Kennedy Park,124,Kennedy Park (124),-79.25202762,43.72726556
938,GO-2018725711,2018.04.23,2018,April,23,Monday,113,D32,Other,153,Avondale,51,Willowdale East (51),-79.41055633,43.75994133
939,GO-2018725711,2018.04.23,2018,April,23,Monday,113,D32,Other,153,Avondale,51,Willowdale East (51),-79.41055633,43.75994133
940,GO-2018725711,2018.04.23,2018,April,23,Monday,113,D32,Other,153,Avondale,51,Willowdale East (51),-79.41055633,43.75994133
941,GO-2018725711,2018.04.23,2018,April,23,Monday,113,D32,Other,153,Avondale,51,Willowdale East (51),-79.41055633,43.75994133
942,GO-2018725711,2018.04.23,2018,April,23,Monday,113,D32,Other,153,Avondale,51,Willowdale East (51),-79.41055633,43.75994133
943,GO-2018725711,2018.04.23,2018,April,23,Monday,113,D32,Other,153,Avondale,51,Willowdale East (51),-79.41055633,43.75994133
944,GO-2018725711,2018.04.23,2018,April,23,Monday,113,D32,Other,153,Avondale,51,Willowdale East (51),-79.41055633,43.75994133
945,GO-2018725711,2018.04.23,2018,April,23,Monday,113,D32,Other,153,Avondale,51,Willowdale East (51),-79.41055633,43.75994133
946,GO-2018725711,2018.04.23,2018,April,23,Monday,113,D32,Other,153,Avondale,51,Willowdale East (51),-79.41055633,43.75994133
947,GO-2018725711,2018.04.23,2018,April,23,Monday,113,D32,Other,153,Avondale,51,Willowdale East (51),-79.41055633,43.75994133
